id,name,price,reactions,stars,joined,categories,in_13_reasons_why,in_90_day_fiance,in_actors,in_adult_film_stars,in_american_idol,in_animals,in_artists,in_athletes,in_authors,in_baseball,in_basketball,in_below_deck,in_bloggers,in_bodybuilders,in_boxing,in_bravo,in_british_stars,in_broadway,in_browse_featured,in_cameo_la,in_cameo_team,in_chefs,in_comedians,in_commentators,in_country_music,in_cricket,in_djs,in_dancers,in_disney,in_drag_queens,in_entrepreneurs,in_extreme_sports,in_family,in_fashion,in_featured,in_fighters,in_fitness,in_food,in_football,in_for_charity,in_game_of_thrones,in_gamers,in_golf,in_hall_of_famers,in_harry_potter,in_hockey,in_instagram_influencers,in_legends,in_lifestyle,in_mtv,in_magicians,in_models,in_motivational_speakers,in_musicians,in_nfl_draft_2019,in_new,in_olympics,in_one_tree_hill,in_orange_is_the_new_black,in_photographers,in_playlist_live,in_podcast,in_politics,in_pro_wrestling,in_queer_eye,in_racing,in_radio,in_rappers,in_real_housewives,in_reality_tv,in_riders,in_riverdale,in_rock_music,in_rugby,in_sabrina_the_teenage_witch,in_singer_songwriter,in_skateboarders,in_soccer,in_spanish_language,in_spotlight,in_stylists,in_summer_house,in_tv_hosts,in_teen_mom,in_tennis,in_the_bachelor,in_the_challenge,in_the_chilling_adventures_of_sabrina,in_the_office,in_the_voice,in_tiktok,in_track_field,in_twilight,in_ufc,in_vanderpump_rules,in_venture_capitalists,in_viners,in_vlog_squad,in_voice_actors,in_winter_sports,in_writers,in_younow,in_youtubers
perezhilton,Perez Hilton,27.0,924,5.0,April 2018,"['Reality TV', 'Commentators', 'Featured']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andydick,Andy Dick,99.0,340,4.9,October 2018,"['Reality TV', 'Comedians', 'Featured', 'Actors']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tjlavin,TJ Lavin,80.0,291,5.0,February 2018,"['Reality TV', 'Riders', 'Featured', 'Extreme Sports', 'MTV', 'The Challenge']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carsonkressley,Carson Kressley,59.0,290,5.0,October 2018,"['Reality TV', 'Bravo', 'Stylists', 'Featured', 'Actors', 'Queer Eye']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
riffraff,RiFF RAFF,75.0,402,4.7,December 2017,"['Rappers', 'Featured', 'Musicians']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chumlee,Chumlee,65.0,316,4.9,February 2018,"['Reality TV', 'Featured']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gilbertgottfried,Gilbert Gottfried,150.0,172,4.9,December 2018,"['Podcast', 'Legends', 'Comedians', 'Featured', 'Voice Actors', 'Actors']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
icet,Ice T,200.0,197,5.0,February 2019,"['Reality TV', 'Legends', 'Rappers', 'Featured', 'Actors']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benhiggy,Ben Higgins,50.0,159,4.9,November 2018,"['Reality TV', 'Spotlight', 'Featured', 'Browse Featured', 'The Bachelor']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laturtle,Evan Breen,25.0,1454,4.9,August 2017,"['Viners', 'Featured']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
